N Np Nc Runtime
1 1 1 36.294559
1 1 1 36.740198
1 1 1 36.269993
1 1 1 37.199487
1 1 1 36.991425
1 1 1 37.134550
1 1 1 37.321627
1 1 2 38.231886
1 1 2 38.204836
1 1 2 38.449978
1 1 2 38.276872
1 1 2 37.762286
1 1 2 37.554501
1 1 2 38.081613
1 1 2 38.007775
1 1 2 38.431226
1 1 2 36.477667
1 1 4 38.401256
1 1 4 37.826313
1 1 4 37.222014
1 1 4 39.543231
1 1 4 38.407124
1 1 4 38.402037
1 1 4 37.610130
1 1 4 38.068239
1 1 4 38.400026
1 1 4 38.544324
1 1 8 37.248817
1 1 8 38.662170
1 1 8 37.886674
1 1 8 38.490469
1 1 8 37.865156
1 1 8 37.007420
1 1 8 39.484503
1 1 8 38.148023
1 1 8 37.594240
1 1 8 37.930562
1 2 1 38.113533
1 2 1 38.602788
1 2 1 37.509634
1 2 1 38.392943
1 2 1 37.935671
1 1 1 37.704140
1 1 1 38.050656
1 1 1 37.360584
1 1 1 41.487369
1 1 1 39.178232
1 1 1 38.420235
1 1 1 38.182821
1 1 1 37.289132
1 1 1 38.540896
1 1 1 38.045813
1 1 2 38.657170
1 1 2 38.536232
1 1 2 37.894708
1 1 2 37.970025
1 1 2 37.900336
1 1 2 37.291415
1 1 2 38.081103
1 1 2 38.600967
1 1 2 38.163636
1 1 2 37.553533
1 1 4 37.969266
1 1 4 37.198587
1 1 4 38.531514
1 1 4 38.368049
1 1 4 37.797882
1 1 4 40.777876
1 1 4 39.171699
1 1 4 38.984665
1 1 4 38.832847
1 1 4 39.188024
1 1 8 39.479086
1 1 8 38.762752
1 1 8 38.612947
1 1 8 38.384623
1 1 8 38.640453
1 1 8 38.598268
1 1 8 39.160177
1 1 8 37.489815
1 1 8 38.839369
1 1 8 38.151561
1 2 1 37.637623
1 2 1 37.621901
1 2 1 38.224148
1 2 1 37.341693
1 2 1 37.875103
1 2 1 36.707794
1 2 1 39.638608
1 2 1 37.514756
1 2 1 38.249720
1 2 1 37.434228
1 4 1 37.041020
1 4 1 39.087024
1 4 1 37.407563
1 4 1 37.948802
1 4 1 37.223573
1 4 1 37.399634
1 4 1 38.465889
1 4 1 37.757200
1 4 1 37.759988
1 4 1 37.992498
1 8 1 38.414601
1 8 1 37.322206
1 8 1 38.283121
1 8 1 38.591873
1 8 1 38.444887
1 8 1 37.672998
1 8 1 38.299724
1 8 1 37.862498
1 8 1 38.377880
1 8 1 38.074998
10 1 1 35.600381
10 1 1 36.030466
10 1 1 36.018561
10 1 1 35.585293
10 1 1 36.140258
10 1 1 36.623954
10 1 1 35.999073
10 1 1 36.982649
10 1 1 36.694126
10 1 1 36.653213
10 1 2 36.264446
10 1 2 36.067805
10 1 2 36.307377
10 1 2 36.001253
